Date,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
1/2/2004,111.74,112.19,110.73,111.23,38072300,75.16,,75.16,75.16
1/5/2004,111.69,112.52,111.59,112.44,27959800,75.97,0.010878401,75.565,75.565
1/6/2004,112.16,112.73,112,112.55,20472800,76.05,0.000977792,75.72666667,75.72666667
1/7/2004,112.39,113.06,111.89,112.93,30170400,76.31,0.003376242,75.8725,75.8725
1/8/2004,113.25,113.41,112.77,113.38,36438400,76.61,0.003984986,76.02,76.02
1/9/2004,112.83,113.5,112.27,112.39,54084300,75.94,-0.008731852,76.00666667,76.00666667
1/12/2004,112.55,113.25,112.36,113.22,31564100,76.5,0.007384879,76.07714286,76.07714286
1/13/2004,113.09,113.23,111.76,112.56,54239700,76.06,-0.00582903,76.075,76.075
1/14/2004,112.76,113.66,112.67,113.5,30112800,76.69,0.008351376,76.14333333,76.14333333
1/15/2004,113.57,114.06,112.58,113.78,38408700,76.88,0.002466467,76.217,76.217
1/16/2004,114.04,114.31,113.63,114.23,31922700,77.18,0.003955215,76.30454545,76.30454545
1/20/2004,114.53,114.65,113.82,114.2,29863000,77.16,-0.000262734,76.37583333,76.37583333
1/21/2004,114.13,115.3,113.72,115.1,30725000,77.77,0.00788104,76.48307692,76.48307692
1/22/2004,115.14,115.38,114.58,114.8,29888500,77.57,-0.002606799,76.56071429,76.56071429
1/23/2004,115,115.37,113.95,114.43,44245300,77.32,-0.00322273,76.715,76.61133333
1/26/2004,114.39,115.93,114.38,115.87,30460600,78.29,0.012583984,76.88071429,76.71625
1/27/2004,115.75,116.5,114.65,114.68,35322800,77.49,-0.010269812,76.98357143,76.76176471
1/28/2004,114.98,115.28,112.94,113.37,52621300,76.6,-0.011423485,77.00428571,76.75277778
1/29/2004,113.56,113.85,112.56,113.48,60117100,76.68,0.000970668,77.00928571,76.74894737
1/30/2004,113.52,113.72,113.09,113.48,30984400,76.68,0,77.06214286,76.7455
2/2/2004,113.7,114.68,113.12,113.97,38832400,77.01,0.004317502,77.09857143,76.75809524
2/3/2004,113.74,114.14,113.44,113.78,25093500,76.88,-0.001666989,77.15714286,76.76363636
2/4/2004,113.19,113.73,112.79,112.85,39332600,76.25,-0.008173311,77.12571429,76.74130435
2/5/2004,113.17,113.54,112.78,113.18,37226800,76.47,0.00292392,77.09642857,76.73
2/6/2004,113.42,114.7,113.2,114.45,37216000,77.33,0.011221423,77.10714286,76.754
2/9/2004,114.67,114.87,114.29,114.48,24851300,77.35,0.000261736,77.12071429,76.77692308
2/10/2004,114.28,115.14,114.26,114.85,27908100,77.6,0.003232133,77.10857143,76.80740741
2/11/2004,114.85,116.39,114.17,116.07,42965700,78.43,0.010622531,77.17,76.86535714
2/12/2004,115.97,116.27,115.58,115.65,27814700,78.14,-0.00361793,77.22857143,76.90931034
2/13/2004,115.82,116.2,114.75,115.13,44739900,77.79,-0.004496778,77.19285714,76.93866667
2/17/2004,115.85,116.43,115.77,116.17,23984300,78.49,0.009033201,77.26428571,76.98870968
2/18/2004,116.2,116.6,115.35,115.66,28618000,78.15,-0.004390537,77.375,77.025
2/19/2004,116.33,116.39,115.06,115.23,51146200,77.86,-0.003717838,77.45928571,77.05030303
2/20/2004,115.48,115.56,114.32,114.88,46728800,77.62,-0.003036872,77.52642857,77.06705882
2/23/2004,115.22,115.26,114.17,114.59,36357000,77.43,-0.002524512,77.55642857,77.07742857
2/24/2004,114.27,114.99,113.03,114.39,43953000,77.29,-0.001745174,77.58571429,77.08333333
2/25/2004,114.46,115.06,114.32,114.87,31213600,77.62,0.004195897,77.68357143,77.09783784
2/26/2004,114.61,115.29,114.34,114.94,29683000,77.66,0.000609337,77.76857143,77.11263158
2/27/2004,115.19,115.74,114.63,115.02,39312000,77.72,0.000696003,77.79642857,77.12820513
3/1/2004,115.43,116.34,115.25,116.16,33130800,78.49,0.009911314,77.87785714,77.16225
3/2/2004,115.94,116.97,115.23,115.48,38556400,78.03,-0.005853938,77.90857143,77.18341463
3/3/2004,115.25,115.87,114.92,115.69,31346200,78.17,0.00181855,77.89,77.20690476
3/4/2004,115.72,116.1,115.52,115.99,21060000,78.37,0.002593212,77.90642857,77.23395349
3/5/2004,115.42,116.95,115.28,116.38,55905600,78.64,0.00336197,77.96714286,77.26590909
3/8/2004,116.34,116.62,114.91,114.96,39281600,77.68,-0.012200636,77.90928571,77.27511111
3/9/2004,115.1,115.21,114.24,114.5,39746100,77.37,-0.004001932,77.85357143,77.27717391
3/10/2004,114.72,114.77,112.56,112.58,67671800,76.07,-0.016768357,77.72571429,77.25148936
3/11/2004,112.4,113.27,111.1,111.12,89134800,75.08,-0.012968596,77.54428571,77.20625
3/12/2004,111.73,112.71,111.58,112.58,54012200,76.07,0.013138991,77.44714286,77.18306122
3/15/2004,112.27,112.35,110.9,111.2,57677200,75.14,-0.012258304,77.29357143,77.1422
3/16/2004,111.78,112.06,110.84,111.79,59832600,75.54,0.005305978,77.145,77.1498
3/17/2004,112.18,113.26,112.1,113.04,41607300,76.38,0.011181365,77.05357143,77.158
3/18/2004,112.7,113.27,111.93,113.07,60014300,76.4,0.0002655,76.95928571,77.165
3/19/2004,112.41,112.57,111.04,111.06,48636200,75.31,-0.01433312,76.73214286,77.145
3/22/2004,110.54,110.57,109.1,109.65,62752100,74.35,-0.012695928,76.46928571,77.0998
3/23/2004,110.25,110.4,109.36,109.46,54080200,74.22,-0.001732359,76.18714286,77.0654
3/24/2004,109.58,110.14,108.85,109.55,51584300,74.28,0.000822145,75.895,77.021
3/25/2004,110.08,111.3,109.79,111,49873600,75.26,0.01323595,75.65357143,77.005
3/26/2004,110.96,111.79,110.8,111.03,37409500,75.28,0.000270043,75.48214286,76.9768
3/29/2004,111.63,112.74,111.58,112.59,44113600,76.34,0.014050123,75.40857143,76.966
3/30/2004,112.3,113.07,112.22,112.97,39059900,76.6,0.003375444,75.44642857,76.9544
3/31/2004,112.99,113.4,112.38,113.1,48517600,76.69,0.001150679,75.56142857,76.945
4/1/2004,113.07,113.87,113.05,113.78,45103800,77.15,0.006012009,75.63857143,76.9326
4/2/2004,114.81,114.84,113.9,114.64,50987700,77.73,0.007559029,75.82357143,76.9358
4/5/2004,114.46,115.38,114.44,115.27,30251800,78.16,0.005495464,76.01071429,76.9526
4/6/2004,114.83,115.18,114.62,114.9,28420900,77.91,-0.003210089,76.12,76.945
4/7/2004,114.95,114.98,114.11,114.63,45890500,77.73,-0.00234966,76.215,76.9498
4/8/2004,115.41,115.41,113.74,114.37,46929700,77.55,-0.002268521,76.375,76.9688
4/12/2004,114.58,115.08,114.57,114.82,23085200,77.85,0.003934839,76.625,76.9922
4/13/2004,115.26,115.3,113.02,113.21,56210300,76.76,-0.014021939,76.80642857,76.9938
4/14/2004,112.61,113.64,112.55,113.39,62322300,76.89,0.001590221,76.99285714,76.9914
4/15/2004,113.45,113.78,112.36,112.96,61602500,76.59,-0.00379261,77.08785714,76.9856
4/16/2004,113.38,114.05,112.98,113.83,47059200,77.18,0.007701754,77.22357143,77.0042
4/19/2004,113.55,113.99,113.27,113.83,28277600,77.18,0,77.28357143,77.0184
4/20/2004,114.08,114.32,111.78,111.92,53299400,75.89,-0.016779069,77.23285714,76.9896
4/21/2004,112.2,112.95,111.87,112.67,50177300,76.4,0.006700718,77.21214286,76.9706
4/22/2004,112.48,114.67,112.44,114.25,62071500,77.47,0.014023574,77.235,76.968
4/23/2004,114.42,114.57,113.79,114.36,29395700,77.54,0.000962584,77.22142857,76.9502
4/26/2004,114.5,114.94,113.6,114.2,35515200,77.43,-0.001398802,77.16928571,76.936
4/27/2004,114.23,115.12,113.96,114.3,43485500,77.5,0.00087502,77.14,76.9302
4/28/2004,113.89,114.01,112.5,112.82,50165800,76.5,-0.012947957,77.05214286,76.8904
4/29/2004,112.72,113.32,111.16,111.83,69687600,75.83,-0.008774758,76.92928571,76.844
4/30/2004,112.17,112.38,110.9,110.96,48681400,75.24,-0.007779676,76.74285714,76.7916
5/3/2004,111.37,112.29,111.35,112.15,33758000,76.04,0.010724812,76.69142857,76.76
5/4/2004,112.25,113.26,111.66,112.06,51185100,75.98,-0.000803428,76.62642857,76.731
5/5/2004,112.41,112.96,112.16,112.78,34405000,76.47,0.006425264,76.61785714,76.7146
5/6/2004,112.02,112.59,111,111.81,54997000,75.81,-0.008600187,76.52,76.6784
5/7/2004,111.22,112.23,109.96,109.96,60950000,74.56,-0.016546428,76.33285714,76.6164
5/10/2004,109.44,109.75,108.36,108.83,75279400,73.79,-0.010276234,76.18285714,76.5378
5/11/2004,109.46,110.05,109.33,109.75,48300600,74.42,0.008453385,76.04142857,76.4564
5/12/2004,109.57,110.54,108.06,110.45,90830500,74.89,0.006378317,75.85714286,76.3936
